entity_name,technique_id_seq,num_techniques,motive,source,source_type
Higaisa,T1566.001 -> T1053.005 -> T1203 -> T1059.005 -> T1106 -> T1059.007 -> T1574.002 -> T1204.002 -> T1059.003 -> T1547.001 -> T1057 -> T1016 -> T1082 -> T1124 -> T1573.001 -> T1001.003 -> T1090.001 -> T1071.001 -> T1041 -> T1029 -> T1140 -> T1220 -> T1036.004 -> T1564.003 -> T1027.001 -> T1027,26,Espionage,Tropchaud,aggregate
APT29,T1589.001 -> T1595.002 -> T1583.001 -> T1587.003 -> T1588.002 -> T1587.001 -> T1584.001 -> T1583.006 -> T1586.002 -> T1566.002 -> T1078.004 -> T1190 -> T1566.003 -> T1566.001 -> T1078 -> T1133 -> T1199 -> T1078.003 -> T1195.002 -> T1078.002 -> T1047 -> T1204.002 -> T1053.005 -> T1059.006 -> T1059.005 -> T1204.001 -> T1203 -> T1059.003 -> T1059.001 -> T1546.003 -> T1136.003 -> T1098.005 -> T1546.008 -> T1098.003 -> T1505.003 -> T1547.001 -> T1098.002 -> T1098.001 -> T1547.009 -> T1548.002 -> T1484.002 -> T1068 -> T1555.003 -> T1606.002 -> T1558.003 -> T1621 -> T1003.006 -> T1606.001 -> T1555 -> T1110.003 -> T1552.004 -> T1539 -> T1087.004 -> T1083 -> T1057 -> T1087.002 -> T1482 -> T1018 -> T1087 -> T1082 -> T1069.002 -> T1069 -> T1016.001 -> T1021.001 -> T1550.001 -> T1550 -> T1550.004 -> T1021.006 -> T1550.003 -> T1021.002 -> T1005 -> T1213.003 -> T1560.001 -> T1114.002 -> T1074.002 -> T1213 -> T1090.004 -> T1043 -> T1071.001 -> T1095 -> T1090.003 -> T1568 -> T1573 -> T1102.002 -> T1105 -> T1090.001 -> T1001.002 -> T1048.002 -> T1027.002 -> T1553.005 -> T1070.004 -> T1070.006 -> T1218.005 -> T1027.006 -> T1218.011 -> T1027 -> T1036.005 -> T1036 -> T1140 -> T1562.004 -> T1553.002 -> T1070 -> T1036.004 -> T1562.001 -> T1562.002 -> T1027.001,106,Espionage,Tropchaud,aggregate
Turla,T1588.002 -> T1587.001 -> T1584.006 -> T1583.006 -> T1588.001 -> T1584.004 -> T1584.003 -> T1078.003 -> T1566.002 -> T1189 -> T1059.005 -> T1059.006 -> T1059.003 -> T1204.001 -> T1059.001 -> T1059.007 -> T1106 -> T1112 -> T1546.013 -> T1546.003 -> T1547.001 -> T1547.004 -> T1068 -> T1055.001 -> T1134.002 -> T1055 -> T1555.004 -> T1110 -> T1120 -> T1082 -> T1057 -> T1007 -> T1016.001 -> T1201 -> T1087.001 -> T1069.002 -> T1049 -> T1012 -> T1018 -> T1087.002 -> T1518.001 -> T1124 -> T1615 -> T1083 -> T1069.001 -> T1016 -> T1570 -> T1021.002 -> T1005 -> T1025 -> T1213 -> T1560.001 -> T1102 -> T1090.001 -> T1102.002 -> T1105 -> T1071.003 -> T1071.001 -> T1090 -> T1567.002 -> T1553.006 -> T1562.001 -> T1027.005 -> T1140 -> T1027,65,Espionage,Tropchaud,aggregate
Sandworm Team,T1589.002 -> T1594 -> T1591.002 -> T1598.003 -> T1589.003 -> T1590.001 -> T1592.002 -> T1593 -> T1595.002 -> T1588.006 -> T1584.005 -> T1588.002 -> T1583.004 -> T1585.002 -> T1583.001 -> T1585.001 -> T1587.001 -> T1133 -> T1195.002 -> T1566.002 -> T1199 -> T1566.001 -> T1078 -> T1078.002 -> T1047 -> T1059.005 -> T1203 -> T1204.002 -> T1059.001 -> T1059.003 -> T1204.001 -> T1505.003 -> T1505.001 -> T1098 -> T1136.002 -> T1136 -> T1056.001 -> T1040 -> T1110.003 -> T1555.003 -> T1003.001 -> T1033 -> T1087.003 -> T1018 -> T1082 -> T1083 -> T1049 -> T1016 -> T1087.002 -> T1570 -> T1021.002 -> T1005 -> T1090 -> T1571 -> T1071.001 -> T1132.001 -> T1102.002 -> T1219 -> T1105 -> T1041 -> T1561.002 -> T1491.002 -> T1499 -> T1485 -> T1070.004 -> T1218.011 -> T1036.005 -> T1027.002 -> T1562.002 -> T1027 -> T1140,71,Sabotage,Tropchaud,aggregate
Chimera,T1589.001 -> T1588.002 -> T1133 -> T1078 -> T1078.002 -> T1059.001 -> T1106 -> T1053.005 -> T1059.003 -> T1047 -> T1574.002 -> T1569.002 -> T1556.001 -> T1111 -> T1110.003 -> T1110.004 -> T1003.003 -> T1057 -> T1046 -> T1082 -> T1087.001 -> T1135 -> T1016 -> T1012 -> T1083 -> T1217 -> T1069.001 -> T1087.002 -> T1007 -> T1049 -> T1201 -> T1124 -> T1482 -> T1033 -> T1018 -> T1570 -> T1021.001 -> T1550.002 -> T1021.006 -> T1021.002 -> T1119 -> T1560.001 -> T1114.002 -> T1213.002 -> T1039 -> T1114.001 -> T1074.001 -> T1074.002 -> T1071.004 -> T1071.001 -> T1572 -> T1105 -> T1567.002 -> T1041 -> T1070.006 -> T1036.005 -> T1070.001 -> T1070.004 -> T1027,59,Espionage,Tropchaud,aggregate
BackdoorDiplomacy,T1588.002 -> T1588.001 -> T1190 -> T1574.001 -> T1505.003 -> T1055.001 -> T1046 -> T1049 -> T1120 -> T1074.001 -> T1105 -> T1095 -> T1027 -> T1036.004 -> T1036.005,15,Espionage,Tropchaud,aggregate
Windshift,T1566.001 -> T1189 -> T1566.002 -> T1566.003 -> T1204.002 -> T1047 -> T1059.005 -> T1204.001 -> T1547.001 -> T1518.001 -> T1518 -> T1082 -> T1057 -> T1033 -> T1105 -> T1071.001 -> T1036 -> T1036.001 -> T1027,19,Espionage,Tropchaud,aggregate
FIN4,T1566.002 -> T1078 -> T1566.001 -> T1204.001 -> T1059.005 -> T1204.002 -> T1056.002 -> T1056.001 -> T1114.002 -> T1071.001 -> T1090.003 -> T1564.008,12,Financial,Tropchaud,aggregate
APT38,T1588.002 -> T1189 -> T1566.001 -> T1059.003 -> T1569.002 -> T1106 -> T1204.002 -> T1059.001 -> T1053.003 -> T1053.005 -> T1059.005 -> T1505.003 -> T1543.003 -> T1112 -> T1056.001 -> T1110 -> T1082 -> T1057 -> T1033 -> T1083 -> T1518.001 -> T1135 -> T1049 -> T1217 -> T1005 -> T1115 -> T1105 -> T1071.001 -> T1529 -> T1565.001 -> T1565.003 -> T1561.002 -> T1485 -> T1486 -> T1565.002 -> T1070.006 -> T1070.004 -> T1562.003 -> T1070.001 -> T1218.001 -> T1562.004 -> T1027.002 -> T1218.011,43,Financial,Tropchaud,aggregate
Darkhotel,T1189 -> T1566.001 -> T1091 -> T1204.002 -> T1203 -> T1059.003 -> T1547.001 -> T1547.009 -> T1056.001 -> T1518.001 -> T1497.002 -> T1082 -> T1016 -> T1057 -> T1083 -> T1497 -> T1497.001 -> T1124 -> T1080 -> T1105 -> T1573.001 -> T1553.002 -> T1140 -> T1027 -> T1036.005,25,Espionage,Tropchaud,aggregate
Ke3chang,T1587.001 -> T1588.002 -> T1078.004 -> T1133 -> T1078 -> T1190 -> T1059 -> T1059.003 -> T1569.002 -> T1543.003 -> T1547.001 -> T1558.001 -> T1003.002 -> T1003.001 -> T1056.001 -> T1003.003 -> T1003.004 -> T1082 -> T1069.002 -> T1007 -> T1018 -> T1057 -> T1033 -> T1087.001 -> T1087.002 -> T1083 -> T1049 -> T1614.001 -> T1016 -> T1021.002 -> T1560.001 -> T1119 -> T1213.002 -> T1114.002 -> T1005 -> T1560 -> T1071.004 -> T1105 -> T1071.001 -> T1041 -> T1020 -> T1027 -> T1036.002 -> T1036.005 -> T1140,45,Espionage,Tropchaud,aggregate
Mustang Panda,T1608 -> T1583.001 -> T1608.001 -> T1585.002 -> T1091 -> T1566.001 -> T1566.002 -> T1053.005 -> T1204.001 -> T1574.002 -> T1204.002 -> T1059.005 -> T1203 -> T1059.001 -> T1047 -> T1059.003 -> T1547.001 -> T1546.003 -> T1003.003 -> T1049 -> T1518 -> T1083 -> T1057 -> T1082 -> T1016 -> T1119 -> T1560.001 -> T1560.003 -> T1074.001 -> T1105 -> T1071.001 -> T1102 -> T1573.001 -> T1219 -> T1052.001 -> T1027 -> T1564.001 -> T1070.004 -> T1036.005 -> T1027.001 -> T1218.004 -> T1218.005 -> T1036.007,43,Espionage,Tropchaud,aggregate
Kimsuky,T1594 -> T1591 -> T1593.002 -> T1593.001 -> T1589.002 -> T1598.003 -> T1589.003 -> T1583.001 -> T1587 -> T1585.002 -> T1587.001 -> T1583.004 -> T1608.001 -> T1588.002 -> T1585.001 -> T1583.006 -> T1586.002 -> T1584.001 -> T1588.005 -> T1133 -> T1190 -> T1566.002 -> T1078.003 -> T1566.001 -> T1059.001 -> T1059.006 -> T1204.001 -> T1059.005 -> T1053.005 -> T1059.007 -> T1204.002 -> T1059.003 -> T1098 -> T1136.001 -> T1543.003 -> T1112 -> T1176 -> T1505.003 -> T1547.001 -> T1546.001 -> T1055 -> T1055.012 -> T1111 -> T1040 -> T1056.001 -> T1557 -> T1552.001 -> T1003.001 -> T1555.003 -> T1016 -> T1082 -> T1518.001 -> T1012 -> T1057 -> T1083 -> T1007 -> T1021.001 -> T1534 -> T1550.002 -> T1114.003 -> T1074.001 -> T1114.002 -> T1005 -> T1560.003 -> T1560.001 -> T1071.002 -> T1071.001 -> T1219 -> T1071.003 -> T1105 -> T1102.002 -> T1041 -> T1567.002 -> T1027.002 -> T1564.003 -> T1562.001 -> T1070.004 -> T1218.005 -> T1036.004 -> T1036 -> T1218.010 -> T1140 -> T1027 -> T1070.006 -> T1564.002 -> T1036.005 -> T1553.002 -> T1562.004 -> T1218.011,89,Espionage,Tropchaud,aggregate
Whitefly,T1588.002 -> T1204.002 -> T1059 -> T1574.001 -> T1068 -> T1003.001 -> T1105 -> T1036.005 -> T1027,9,Espionage,Tropchaud,aggregate
