entity_name,technique_id_seq,num_techniques,motive,source,source_type
Phobos,T1593 -> T1595 -> T1598 -> T1585 -> T1588 -> T1078 -> T1133 -> T1566 -> T1047 -> T1059 -> T1106 -> T1204 -> T1547 -> T1055 -> T1134 -> T1003 -> T1110 -> T1555 -> T1057 -> T1082 -> T1083 -> T1087 -> T1560 -> T1001 -> T1071 -> T1105 -> T1219 -> T1048 -> T1567 -> T1486 -> T1490 -> T1657 -> T1027 -> T1140 -> T1218 -> T1562,36,Financial,https://www.cisa.gov/news-events/cybersecurity-advisories/aa24-060a,bounded_incident
Unknown,T1589 -> T1078 -> T1133 -> T1078 -> T1552 -> T1087 -> T1018 -> T1482 -> T1083 -> T1046 -> T1021 -> T1213,12,Financial,https://www.cisa.gov/news-events/cybersecurity-advisories/aa24-046a,bounded_incident
Play,T1078 -> T1190 -> T1133 -> T1059 -> T1484 -> T1552 -> T1003 -> T1016 -> T1518 -> T1570 -> T1560 -> T1048 -> T1486 -> T1657 -> T1562 -> T1070,16,Financial,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-352a,bounded_incident
StarBlizzard,T1593 -> T1589 -> T1585 -> T1583 -> T1586 -> T1078 -> T1566 -> T1539 -> T1550 -> T1114,10,Espionage,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-341a,bounded_incident
ScatteredSpider1,T1589 -> T1598 -> T1597 -> T1594 -> T1598 -> T1593 -> T1583 -> T1585 -> T1566 -> T1199 -> T1078 -> T1648 -> T1204 -> T1136 -> T1556 -> T1484 -> T1606 -> T1621 -> T1552 -> T1539 -> T1217 -> T1538 -> T1083 -> T1018 -> T1021 -> T1213 -> T1074 -> T1114 -> T1530 -> T1219 -> T1090 -> T1567 -> T1486 -> T1657 -> T1660 -> T1578 -> T1656 -> T1451,38,Financial,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-320a,bounded_incident
Rhysida,T1587 -> T1078 -> T1059 -> T1112 -> T1055 -> T1003 -> T1016 -> T1018 -> T1033 -> T1069 -> T1087 -> T1482 -> T1021 -> T1219 -> T1486 -> T1657 -> T1070 -> T1564,18,Financial,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-319a,bounded_incident
Snatch,T1590 -> T1583 -> T1078 -> T1133 -> T1078 -> T1059 -> T1569 -> T1112 -> T1110 -> T1012 -> T1057 -> T1021 -> T1005 -> T1071 -> T1486 -> T1490 -> T1036 -> T1070 -> T1562,19,Financial,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-263a,bounded_incident
BlackTech,T1588 -> T1199 -> T1205 -> T1542 -> T1112 -> T1021 -> T1071 -> T1090 -> T1562 -> T1601,10,Espionage,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-270a,bounded_incident
Lockbit,T1189 -> T1190 -> T1133 -> T1566 -> T1078 -> T1059 -> T1072 -> T1569 -> T1547 -> T1548 -> T1484 -> T1110 -> T1555 -> T1003 -> T1046 -> T1082 -> T1614 -> T1021 -> T1560 -> T1071 -> T1095 -> T1572 -> T1219 -> T1567 -> T1485 -> T1486 -> T1491 -> T1490 -> T1489 -> T1480 -> T1562 -> T1070 -> T1027,33,Financial,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-165a,bounded_incident
CL0P,T1190 -> T1566 -> T1059 -> T1129 -> T1574 -> T1505 -> T1546 -> T1068 -> T1055 -> T1018 -> T1021 -> T1563 -> T1113 -> T1071 -> T1105 -> T1041 -> T1070,17,Financial,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-158a,bounded_incident
